trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
0,0,0,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
0,0,0,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
0,0,0,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
0,0,0,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
1,0,1,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
1,0,1,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
1,0,1,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
1,0,1,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
1,0,1,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
2,0,2,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
2,0,2,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
2,0,2,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
2,0,2,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
2,0,2,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
3,0,3,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
3,0,3,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
3,0,3,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
3,0,3,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
3,0,3,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
4,0,4,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
4,0,4,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
4,0,4,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
4,0,4,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
4,0,4,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
5,0,5,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
5,0,5,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
5,0,5,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
5,0,5,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
5,0,5,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
6,0,6,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
6,0,6,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
6,0,6,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
6,0,6,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
6,0,6,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
7,0,7,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
7,0,7,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
7,0,7,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
7,0,7,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
7,0,7,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
8,0,8,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
8,0,8,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
8,0,8,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
8,0,8,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
8,0,8,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
9,0,9,0,0,0,0,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
9,0,9,0,1,0,1,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
9,0,9,0,2,0,2,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
9,0,9,0,3,0,3,0,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
9,0,9,0,,,,,,001,2021_maj_11_1617,untitled,3.0.0+brain1,60.03132434485896,
